strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
080602040203,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602040301,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602040302,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602040303,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602040304,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602040305,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602050402,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602050403,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602050601,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602050602,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602050603,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602050604,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602050605,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602050606,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602050607,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602050608,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602050701,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602050702,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602050703,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602050704,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602050705,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602050706,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602060102,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602060104,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602060105,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602060106,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602060201,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602060202,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602060203,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602060301,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602060302,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602060303,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602060304,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080701000101,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080701000102,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080702010101,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080702010102,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080702010201,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080702010202,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080702010203,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080702010204,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080702010302,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080702010303,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080703000101,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080703000102,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080703000103,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080703000104,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080703000201,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080703000202,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080703000301,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080703000302,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000101,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000102,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000104,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000105,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000106,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000107,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000108,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000109,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000110,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000111,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000112,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000201,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000202,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000203,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000204,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000206,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000306,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000307,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000308,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000309,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000310,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000311,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000401,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000407,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000501,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000502,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000503,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000504,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000505,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000506,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000507,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801020802,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801020901,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801020902,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801020903,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801020904,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801030204,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801030206,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801030305,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801030401,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801030402,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801030403,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801030404,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801030405,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801030406,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801030502,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801030503,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801030504,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801030505,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801030506,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801030600,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801030700,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801030800,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080903020202,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080903020203,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080903020204,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080903020403,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080903020404,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
